 #aa  mm  Ext Proba
   1  23 101   0.160E-12
   1  23 102   0.385E-13
   1  23 103   0.276E-13
   1  23 104   0.121E-13
   1  23 105   0.820E-14
   1  23 106   0.161E-14
   1  23 107   0.229E-15
   1  23 108   0.841E-16
   1  23 109   0.133E-16
   1  23 110   0.120E-17
   1  23 111   0.203E-19
   1  24  86   0.193E-35
   1  24  87   0.215E-34
   1  24  88   0.523E-30
   1  24  89   0.344E-31
   1  24  90   0.432E-29
   1  24  91   0.915E-27
   1  24  92   0.366E-23
   1  24  93   0.500E-22
   1  24  94   0.100E-22
   1  24  95   0.113E-20
   1  24  96   0.126E-15
   1  24  97   0.794E-16
   1  24  98   0.121E-14
   1  24  99   0.422E-13
   1  24 100   0.101E-12
   1  24 101   0.420E-13
   1  24 102   0.373E-13
   1  24 103   0.151E-13
   1  24 104   0.673E-14
   1  24 105   0.661E-14
   1  24 106   0.248E-14
   1  24 107   0.131E-14
   1  24 108   0.338E-15
   1  24 109   0.179E-15
   1  24 110   0.330E-17
   1  24 111   0.115E-16
   1  25  82   0.147E-37
   1  25  85   0.383E-36
   1  25  86   0.635E-34
   1  25  87   0.191E-31
   1  25  88   0.182E-30
   1  25  89   0.656E-28
   1  25  90   0.302E-28
   1  25  91   0.103E-25
   1  25  92   0.314E-24
   1  25  93   0.268E-23
   1  25  94   0.176E-11
   1  25  95   0.669E-21
   1  25  96   0.652E-13
   1  25  97   0.108E-11
   1  25  98   0.314E-12
   1  25  99   0.313E-12
   1  25 100   0.115E-12
   1  25 101   0.805E-13
   1  25 102   0.526E-13
   1  25 103   0.309E-13
   1  25 104   0.863E-14
   1  25 105   0.486E-14
   1  25 106   0.204E-14
   1  25 107   0.469E-15
   1  25 108   0.195E-15
   1  25 109   0.239E-16
   1  25 110   0.489E-17
   1  25 111   0.389E-23
   1  26  84   0.139E-36
   1  26  85   0.327E-35
   1  26  86   0.107E-32
   1  26  87   0.338E-33
   1  26  88   0.790E-30
   1  26  89   0.159E-28
   1  26  90   0.636E-23
   1  26  91   0.194E-25
   1  26  92   0.105E-23
   1  26  93   0.140E-23
   1  26  94   0.101E-14
   1  26  95   0.132E-14
   1  26  96   0.305E-16
   1  26  97   0.638E-15
   1  26  98   0.782E-15
   1  26  99   0.850E-13
   1  26 100   0.558E-13
   1  26 101   0.576E-13
   1  26 102   0.614E-13
   1  26 103   0.346E-13
   1  26 104   0.163E-13
   1  26 105   0.706E-14
   1  26 106   0.476E-14
   1  26 107   0.173E-14
   1  26 108   0.630E-15
   1  26 109   0.192E-15
   1  26 110   0.209E-16
   1  26 111   0.261E-16
   1  27  81   0.246E-35
   1  27  84   0.521E-33
   1  27  85   0.104E-32
   1  27  87   0.630E-32
   1  27  88   0.264E-28
   1  27  89   0.178E-27
   1  27  90   0.514E-26
   1  27  91   0.116E-23
   1  27  92   0.698E-22
   1  27  93   0.850E-22
   1  27  94   0.476E-13
   1  27  95   0.114E-17
   1  27  96   0.327E-19
   1  27  97   0.566E-18
   1  27  98   0.381E-12
   1  27  99   0.677E-13
   1  27 100   0.831E-13
   1  27 101   0.131E-12
   1  27 102   0.808E-13
   1  27 103   0.443E-13
   1  27 104   0.131E-13
   1  27 105   0.136E-13
   1  27 106   0.572E-14
   1  27 107   0.316E-14
   1  27 108   0.971E-15
   1  27 109   0.426E-15
   1  27 110   0.145E-15
   1  27 111   0.217E-16
   1  28  81   0.241E-35
   1  28  82   0.630E-35
   1  28  83   0.804E-35
   1  28  84   0.183E-33
   1  28  85   0.374E-31
   1  28  86   0.923E-28
   1  28  87   0.446E-28
   1  28  88   0.129E-26
   1  28  89   0.863E-25
   1  28  90   0.122E-23
   1  28  91   0.639E-24
   1  28  92   0.605E-20
   1  28  93   0.128E-20
   1  28  94   0.136E-19
   1  28  95   0.165E-18
   1  28  96   0.731E-18
   1  28  97   0.192E-13
   1  28  98   0.256E-12
   1  28  99   0.941E-13
   1  28 100   0.326E-13
   1  28 101   0.176E-13
   1  28 102   0.451E-14
   1  28 103   0.245E-13
   1  28 104   0.133E-13
   1  28 105   0.129E-13
   1  28 106   0.838E-14
   1  28 107   0.426E-14
   1  28 108   0.167E-14
   1  28 109   0.468E-15
   1  28 110   0.145E-15
   1  28 111   0.242E-16
   1  29  80   0.780E-37
   1  29  81   0.987E-36
   1  29  82   0.670E-34
   1  29  83   0.201E-33
   1  29  85   0.227E-29
   1  29  86   0.187E-26
   1  29  87   0.411E-27
   1  29  88   0.754E-26
   1  29  89   0.799E-26
   1  29  90   0.900E-24
   1  29  91   0.643E-23
   1  29  92   0.571E-20
   1  29  93   0.691E-22
   1  29  94   0.352E-19
   1  29  95   0.344E-20
   1  29  96   0.291E-16
   1  29  97   0.296E-18
   1  29  98   0.108E-17
   1  29  99   0.512E-16
   1  29 100   0.900E-15
   1  29 101   0.115E-14
   1  29 102   0.148E-13
   1  29 103   0.237E-13
   1  29 104   0.130E-13
   1  29 105   0.139E-13
   1  29 106   0.903E-14
   1  29 107   0.428E-14
   1  29 108   0.236E-14
   1  29 109   0.858E-15
   1  29 110   0.170E-15
   1  29 111   0.396E-16
   1  30  82   0.225E-31
   1  30  84   0.239E-30
   1  30  85   0.250E-25
   1  30  86   0.382E-27
   1  30  87   0.604E-27
   1  30  88   0.206E-26
   1  30  89   0.978E-22
   1  30  90   0.723E-23
   1  30  91   0.170E-20
   1  30  92   0.179E-18
   1  30  93   0.450E-19
   1  30  94   0.292E-18
   1  30  95   0.350E-17
   1  30  96   0.111E-16
   1  30  97   0.287E-16
   1  30  98   0.434E-16
   1  30  99   0.431E-15
   1  30 100   0.250E-14
   1  30 101   0.364E-14
   1  30 102   0.894E-14
   1  30 103   0.116E-13
   1  30 104   0.529E-14
   1  30 105   0.128E-13
   1  30 106   0.654E-14
   1  30 107   0.106E-14
   1  30 108   0.147E-14
   1  30 109   0.259E-15
   1  30 110   0.735E-16
   1  30 111   0.348E-18
   1  31  84   0.438E-34
   1  31  86   0.203E-25
   1  31  89   0.161E-23
   1  31  90   0.715E-20
   1  31  91   0.116E-19
   1  31  92   0.247E-18
   1  31  93   0.643E-19
   1  31  94   0.133E-17
   1  31  95   0.657E-15
   1  31  96   0.486E-15
   1  31  97   0.107E-14
   1  31  98   0.461E-14
   1  31  99   0.115E-14
   1  31 100   0.100E-14
   1  31 101   0.651E-14
   1  31 102   0.148E-13
   1  31 103   0.138E-13
   1  31 104   0.282E-13
   1  31 105   0.154E-13
   1  31 106   0.108E-13
   1  31 107   0.420E-14
   1  31 108   0.211E-14
   1  31 109   0.674E-15
   1  31 110   0.182E-15
   1  31 111   0.494E-16
   1  32  87   0.208E-25
   1  32  89   0.434E-23
   1  32  92   0.925E-19
   1  32  93   0.104E-16
   1  32  94   0.353E-16
   1  32  95   0.885E-17
   1  32  96   0.174E-15
   1  32  97   0.101E-14
   1  32  98   0.535E-14
   1  32  99   0.116E-13
   1  32 100   0.873E-14
   1  32 101   0.977E-14
   1  32 102   0.101E-13
   1  32 103   0.786E-14
   1  32 104   0.920E-14
   1  32 105   0.273E-14
   1  32 106   0.534E-14
   1  32 107   0.935E-15
   1  32 108   0.112E-14
   1  32 109   0.420E-15
   1  32 110   0.191E-15
   1  32 111   0.149E-16
   1  33 100   0.401E-14
   1  33 101   0.325E-14
   1  33 102   0.745E-14
   1  33 103   0.468E-14
   1  33 104   0.947E-14
   1  33 105   0.507E-14
   1  33 106   0.365E-14
   1  33 107   0.358E-14
   1  33 108   0.163E-14
   1  33 109   0.170E-15
   1  33 110   0.208E-15
   1  33 111   0.422E-16
   1  34  95   0.405E-17
   1  34  99   0.551E-15
   1  34 100   0.304E-13
   1  34 101   0.851E-14
   1  34 102   0.109E-13
   1  34 103   0.489E-13
   1  34 104   0.122E-13
   1  34 105   0.147E-13
   1  34 106   0.862E-14
   1  34 107   0.280E-14
   1  34 108   0.572E-15
   1  34 109   0.309E-15
   1  34 110   0.801E-16
   1  34 111   0.794E-17
   1  35 100   0.153E-13
   1  35 101   0.434E-14
   1  35 102   0.162E-13
   1  35 103   0.176E-13
   1  35 104   0.742E-14
   1  35 105   0.453E-14
   1  35 106   0.496E-14
   1  35 107   0.198E-14
   1  35 108   0.277E-15
   1  35 109   0.229E-15
   1  35 110   0.496E-16
   1  35 111   0.371E-17
   1  36 104   0.940E-14
   1  36 106   0.881E-15
   1  36 107   0.711E-15
   1  36 108   0.200E-15
   1  36 109   0.167E-15
   1  36 110   0.216E-16
   1  37 109   0.392E-16
   1  37 110   0.493E-18
   1  37 111   0.650E-18
   2   1  86   0.150E-36
   2   1  87   0.213E-35
   2   1  88   0.760E-12
   2   1  89   0.319E-09
   2   1  91   0.745E-12
   2   1  92   0.138E-16
   2   1  94   0.951E-11
   2   1  95   0.544E-11
   2   1  96   0.123E-14
   2   1  97   0.459E-12
   2   1  99   0.739E-13
   2   1 100   0.160E-13
   2   1 101   0.138E-18
   2   1 102   0.441E-28
   2   1 103   0.164E-28
   2   1 104   0.220E-22
   2   2  83   0.108E-36
   2   2  84   0.415E-35
   2   2  85   0.615E-29
   2   2  86   0.380E-29
   2   2  87   0.801E-23
   2   2  88   0.164E-23
   2   2  89   0.501E-14
   2   2  90   0.349E-15
   2   2  91   0.532E-12
   2   2  92   0.131E-11
   2   2  94   0.611E-14
   2   2  95   0.820E-12
   2   2  96   0.877E-12
   2   2  98   0.832E-13
   2   2  99   0.239E-14
   2   2 100   0.132E-27
   2   2 102   0.287E-16
   2   2 103   0.622E-20
   2   3  82   0.884E-27
   2   3  86   0.337E-09
   2   3  88   0.694E-22
   2   3  89   0.142E-09
   2   3  91   0.933E-12
   2   3  92   0.295E-12
   2   3  93   0.397E-14
   2   3  95   0.303E-11
   2   3  97   0.632E-12
   2   3  98   0.989E-13
   2   3 100   0.180E-13
   2   3 103   0.453E-28
   2   4  83   0.176E-27
   2   4  85   0.260E-30
   2   4  86   0.365E-27
   2   4  87   0.885E-24
   2   4  88   0.899E-26
   2   4  89   0.527E-18
   2   4  90   0.431E-18
   2   4  91   0.684E-14
   2   4  92   0.337E-11
   2   4  93   0.599E-14
   2   4  94   0.171E-11
   2   4  97   0.472E-18
   2   4  98   0.168E-15
   2   4  99   0.406E-14
   2   4 100   0.580E-17
   2   4 101   0.107E-21
   2   4 102   0.893E-17
   2   4 106   0.120E-36
   2   5  82   0.103E-29
   2   5  83   0.101E-34
   2   5  84   0.103E-21
   2   5  85   0.303E-22
   2   5  86   0.669E-26
   2   5  87   0.154E-25
   2   5  88   0.707E-17
   2   5  89   0.862E-21
   2   5  90   0.670E-14
   2   5  91   0.374E-16
   2   5  92   0.592E-20
   2   5  93   0.739E-14
   2   5  94   0.742E-13
   2   5  95   0.140E-11
   2   5  96   0.879E-12
   2   5  97   0.330E-12
